Datasets,metric,TabNet,NODE,SNN,autosklearn,autoweka,h2oautoml,randomforest,tpot,tunedrandforest,constantpred
adult,auc,NaN,"0,91688","0,62695","0,92953","0,90786","0,92578","0,90940","0,92742","0,90923","0,50000"
Airlines,auc,"0,68633","0,69442",,"0,724606","0,690001","0,731617","0,660767","0,723175","0,661254","0,5"
Albert,auc,NaN,"0,71659",,"0,74173",NaN,"0,762685","0,738157","0,737768","0,738316","0,5"
Amazon_employee_access,auc,"0,64743","0,59031",,"0,85595","0,80903","0,87925","0,86415","0,86955","0,86283","0,50000"
APSFailure,auc,"0,97732","0,97241","0,61874","0,99117","0,96466","0,99234","0,99121","0,99026","0,99077","0,50000"
Australian,auc,"0,69885","0,89092","0,69266","0,93535","0,92945","0,92578","0,90940","0,92742","0,90923","0,50000"
bank-marketing,auc,"0,91760","0,91555","0,75284","0,93733","0,82671","0,93707","0,93083","0,93368","0,93069","0,50000"
blood-transfusion,auc,"0,73392","0,80117","0,64985","0,75738","0,74081","0,75630","0,68628","0,72437","0,68856","0,50000"
car,logloss,"1,02841","0,01390","0,70121","0,00960","0,24339","0,00192","0,14368","0,00035","0,04723","0,83579"
christine,auc,"0,69763","0,81655","0,72048","0,82975","0,80199","0,82600","0,80578","0,81340","0,80960","0,50000"
cnae-9,logloss,"2,19735","0,30737","0,32550","0,17066","0,87269","0,15535","0,30089","0,19576","0,29721","2,19722"
connect-4,logloss,"0,51700","0,49192","5,51494","0,42562","0,74138","0,34480","0,49452","0,39963","0,47801","0,84456"
Covertype,logloss,"0,34740",timeout,,"0,104146","3,8949","0,162618","0,161368","0,107192","0,161343","1,20516"
credit-g,auc,"0,64679","0,80095",,"0,78262","0,75255","0,78881","0,79467","0,78614","0,79552","0,50000"
dilbert,logloss,"0,08736","0,12865","0,23870","0,09683","1,78738","0,05197","0,32840","0,21740","0,32865","1,60913"
Dionis,logloss,"1,048945",NaN,,"4,11994","2,88266","1,66178","1,07764","1,36118","1,01648","5,85739"
fabert,logloss,"1,41074","0,98687","1,05095","0,77765","3,03725","0,75387","0,80709","0,82630","0,80564","1,87471"
Fashion-MNIST,logloss,"0,32990","0,32878",,"0,35378","0,58080","0,29429","0,36113","0,65076","0,36167","2,30259"
guillermo,auc,"0,71151","0,81655",,"0,90130","0,87818","0,90992","0,90265","0,81922","0,90276","0,50000"
Helena,logloss,"2,84254","2,75151",,"3,44731","13,04270","3,18649","3,54993","3,24483","3,55885","4,14341"
higgs,auc,"0,80209","0,79382",,"0,79332","0,67698","0,81350","0,80297","0,80155","0,80294","0,50000"
Jannis,logloss,"0,70050","0,74052",,"0,70533","6,27084","0,68110","0,72815","0,73157","0,72852","1,10867"
jasmine,auc,"0,82687","0,85385","0,79376","0,88395","0,86056","0,88782","0,88826","0,88459","0,88913","0,50000"
jungle_chess_2pcs_raw_endgame_complete,logloss,"0,29921","0,06519",,"0,23400","1,55919","0,21789","0,43804","0,19794","0,40170","0,93513"
kc1,auc,"0,79378","0,80966","0,66817","0,84251","0,81414","0,83639","0,83627","0,84099","0,84214","0,50000"
KDDCup09_appetency,auc,NaN,NaN,,0.83399,0.790757,0.830412,0.785771,0.818407,0.785631,0.5
kr-vs-kp,auc,"0,99434","0,99859","0,94473","0,99984","0,97599","0,99987","0,99915","0,99969","0,99965","0,50000"
mfeat-factors,logloss,"18,23755","0,11705","0,46543","0,09870","0,62660","0,10472","0,23409","0,13812","0,20103","2,30259"
MiniBooNE,auc,"0,94312","0,98122",,"0,98547","0,96123","0,98656","0,98166","0,98117","0,98165","0,50000"
nomao,auc,"0,99157","0,99238","0,91216","0,99595","0,98393","0,99596","0,99491","0,99457","0,99510","0,50000"
numerai28.6,auc,"0,52458","0,52090",,"0,52911","0,52015","0,53190","0,51966","0,52474","0,52072","0,50000"
phoneme,auc,"0,92668","0,95081","0,75586","0,96260","0,95696","0,96766","0,96542","0,96894","0,96573","0,50000"
riccardo,auc,"0,99741","0,99638",,"0,99976",nan,"0,99981","0,99903","0,99200","0,99969","0,50000"
Robert,logloss,"1,90952",timeout,,"2,30259",nan,"1,55285","1,68763","4,04131","1,68744","2,30224"
segment,logloss,"0,37100","0,19443","0,44079","0,06048","0,50084","0,04725","0,08450","0,05150","0,06880","1,94591"
Shuttle,logloss,"0,01552","0,01306",,"0,00062","0,01519","0,00042","0,00077","3,44413","0,00060","0,66563"
sylvine,auc,"0,69972","0,97991","0,87522","0,99040","0,97495","0,98997","0,98328","0,99178","0,98395","0,50000"
vehicle,logloss,"13,18280","0,37719",,"0,39486","2,10500","0,35304","0,49720","0,41371","0,48585","1,38568"
Volkert,logloss,"1,04319","0,95451",,"0,94532","1,10970","0,82062","0,97968","1,01061","0,97886","2,05260"
